source,word,action
triage-pass-1,exhumed,keep
triage-pass-1,exogamy,ditch
triage-pass-1,foxfire,ditch
triage-pass-1,foxhole,keep
triage-pass-1,futzing,keep
triage-pass-1,hammock,keep
triage-pass-1,hawkish,keep
triage-pass-1,hummock,ditch
triage-pass-1,jackals,keep
triage-pass-1,jackass,keep
triage-pass-1,jaybird,keep
triage-pass-1,jodhpur,keep
triage-pass-1,junkman,keep
triage-pass-1,knowhow,keep
triage-pass-1,macaque,keep
triage-pass-1,mahjong,keep
triage-pass-1,payback,keep
triage-pass-1,quashed,keep
triage-pass-1,quibble,keep
triage-pass-1,schmuck,keep
triage-pass-1,squeaks,keep
triage-pass-1,taxiway,keep
triage-pass-1,unfazed,keep
triage-pass-1,walkway,keep
triage-pass-1,waltzed,keep
triage-pass-1,whacked,keep
triage-pass-1,whiffed,keep
triage-pass-1,wizened,keep
triage-pass-1,wysiwyg,ditch
triage-pass-1,zippers,keep
triage-pass-1,zoology,keep
triage-pass-1,zygotes,keep
triage-pass-1,abject,keep
triage-pass-1,ablaze,keep
triage-pass-1,acquit,keep
triage-pass-1,amazes,keep
triage-pass-1,banzai,keep
triage-pass-1,barque,ditch
triage-pass-1,basque,ditch
triage-pass-1,bazaar,keep
